"","iso_code","country_name","world_region","past_cases","date","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"52","ERI","Eritrea","Africa",11.8,2020-07-29,3.2,0,0.9024,0,NA,NA,NA,NA,NA,93.52,3546427,44.304,19.3,3.607,2.171,1510.459,NA,311.11,6.05,0.2,11.4,NA,0.7,66.32,279,0,78.671,0,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","3","0",NA,"1","0","0","2","1","1","1","0","0",NA,"215","0","93.52","93.52","96.43","96.43","75","75","84.09","84.09","25","25"
"53","ESP","Spain","Europe",350.8,2020-07-28,3252.25,2.75,69.55975,0.059,NA,NA,NA,NA,NA,NA,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,83.56,285430,28443,6104.83,608.344,NA,NA,"2","1","0","0","2","0","4","0","0",NA,"2","0","2","0","1","2","0","2","0","0","2","1","2","1","0","0",NA,"250545","28385","58.8","58.8","56.67","56.67","63.14","63.14","58.71","58.71","87.5","87.5"
"54","EST","Estonia","Europe",1,2020-07-29,3.6,0,2.7138,0,556.75,0.42,368.25,0.27775,NA,22.22,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,2051,69,1546.129,52.015,NA,NA,"0",NA,"0",NA,"0",NA,"2","1","0",NA,"0",NA,"0",NA,"2","0",NA,"2","0","0","2","1","2","0","0","0",NA,"2014","69","22.22","22.22","30","30","28.21","28.21","24.24","24.24","50","50"
"55","ETH","Ethiopia","Africa",134.2,2020-07-29,784.4,12.6,6.8228,0.1096,NA,NA,NA,NA,NA,NA,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,16615,263,144.524,2.288,NA,NA,"3","1","2","1","2","1","4","1","2","0","1","1","2","0","2","0",NA,"2","0","0","2","1","0","2","0","0",NA,"5846","103","69.44","69.44","77.38","77.38","63.46","63.46","65.91","65.91","50","50"
"56","FIN","Finland","Europe",8.4,2020-07-29,7,0,1.2632,0,3959,0.714333333333333,4074,0.735,NA,37.96,5540718,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,81.91,7423,329,1339.718,59.379,NA,NA,"1","1","1","1","1","1","2","1","0",NA,"0",NA,"0",NA,"3","2","1","1","0","0","2","1","2","1","0","0",NA,"7293","328","37.96","37.96","48.81","48.81","46.79","46.79","41.67","41.67","75","75"
"57","FJI","Fiji","Asia and the Pacific",0,2020-07-29,0,0,0,0,26,0.029,44,0.049,NA,48.15,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,NA,2.3,67.44,27,0,30.119,0,NA,NA,"0","1","2","1","1","1","2","1","0",NA,"2","1","1","0","4","1","1","2","0","0","2","1","3","2","0","0",NA,"26","0","50.93","48.15","59.52","59.52","62.18","60.26","59.85","57.58","75","75"
"58","FRA","France","Europe",690.6,2020-07-29,1209,12.4,18.5222,0.1898,90458.5,1.386,67751,1.038,NA,31.48,65273512,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,186573,30254,2858.326,463.496,NA,NA,"0",NA,"1","1","2","1","1","1","0",NA,"0",NA,"1","0","0","2","1","1","0","0","2","1","2","2","0","0",NA,"166960","29893","31.48","31.48","40.48","40.48","46.15","46.15","40.91","40.91","75","75"
"59","GAB","Gabon","Africa",61.4,2020-07-29,73.6,0,33.0678,0,NA,NA,NA,NA,NA,NA,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,NA,NA,NA,6.3,66.47,7352,49,3303.189,22.015,NA,NA,"0",NA,"2","1","2","1","4","1","1","1","1","1","2","0","4","2","0","2","0","0","2","1","3","2","0","0",NA,"5620","46","69.44","69.44","72.62","72.62","76.92","76.92","75","75","87.5","87.5"
"60","GBR","United Kingdom","Europe",643.4,2020-07-29,494.2,52.2,7.2798,0.769,127557.25,1.879,124195.5,1.8295,NA,NA,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,302301,45999,4453.068,677.592,NA,NA,"3","0","2","1","2","1","4","0","1","1","1","0","1","0","2","2","1","2","0","0","2","1","2","2","0","0",NA,"284271","43730","64.35","64.35","71.43","71.43","72.76","72.76","67.8","67.8","100","100"
"61","GEO","Georgia","Europe",1.8,2020-07-29,5.8,0.2,1.4538,0.0502,NA,NA,NA,NA,NA,NA,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,NA,2.6,73.77,1160,17,290.787,4.262,NA,NA,"3","1","2","1","1","1","2","1","0",NA,"1","0","1","0","3","1","0","1","0","0","2","1","2","2","0","0",NA,"1006","15","53.7","53.7","64.29","64.29","55.77","55.77","59.09","59.09","37.5","37.5"
"62","GHA","Ghana","Africa",453.6,2020-07-29,658.2,2.8,21.1824,0.09,4584,0.148,3685,0.119,NA,NA,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,35142,175,1130.952,5.632,NA,NA,"2","1","1","1","2","1","3","1","0",NA,"0",NA,"0",NA,"4","0",NA,"0","0","0","2","1","3","2","0","0",NA,"18134","139","52.78","52.78","60.71","60.71","51.92","51.92","61.36","61.36","0","0"
"63","GIN","Guinea","Africa",36,2020-07-29,63,0.8,4.7972,0.0608,NA,NA,NA,NA,NA,NA,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,NA,NA,17.45,0.3,61.6,7242,46,551.444,3.503,NA,NA,"3","1","1","1","2","1","3","1","0",NA,"1","1","0","0","2","0",NA,"0","0","0","2","1","2","1","0","0",NA,"6141","34","54.63","54.63","64.29","64.29","46.79","46.79","55.3","55.3","0","0"
"64","GMB","Gambia","Africa",0.8,2020-07-29,25.2,0.4,10.4276,0.1656,NA,NA,NA,NA,NA,NA,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,403,8,166.759,3.31,NA,NA,"2","0","1","1","2","1","4","0","1","1","1","1","1","1","4","0",NA,"0","0","0","2","1","0","2","0","0",NA,"64","3","67.13","67.13","76.19","76.19","54.17","54.17","64.02","64.02","0","0"
"65","GRC","Greece","Europe",17.6,2020-07-29,47,0.4,4.5092,0.0384,21248,2.03833333333333,7711.33333333333,0.74,NA,NA,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,4401,203,422.237,19.476,NA,NA,"1","1","0",NA,"0","1","3","1","1","1","1","1","1","1","3","2","0","1","0","0","2","1","3","2","0","0",NA,"3409","193","46.3","46.3","62.62","62.62","57.05","57.05","56.06","56.06","62.5","62.5"
"66","GRL","Greenland","Europe",0,2020-07-29,0.2,0,3.5228,0,NA,NA,NA,NA,NA,33.33,56772,0.137,NA,NA,NA,NA,NA,199.941,2.16,NA,NA,NA,NA,71.7,14,0,246.6,0,NA,NA,"0",NA,"0",NA,"1","1","2","1","0",NA,"0",NA,"1","1","2","0",NA,"0","0","0","2","1","2","2","0","0",NA,"13","0","33.33","33.33","40.48","40.48","35.9","35.9","42.42","42.42","0","0"
"67","GTM","Guatemala","Latin America and the Caribbean",495.4,2020-07-29,866.8,39.6,48.3826,2.2102,NA,NA,NA,NA,NA,NA,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,NA,NA,76.665,0.6,74.3,48826,1867,2725.339,104.211,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","1","1","2","0","0","2","1","2","0","0","0",NA,"45053","1669","96.3","96.3","100","100","83.33","83.33","84.85","84.85","75","75"
"68","GUM","Guam","Asia and the Pacific",4,2020-07-29,3.8,0,22.5142,0,NA,NA,NA,NA,NA,NA,168783,304.128,31.4,9.551,5.493,NA,NA,310.496,21.52,NA,NA,NA,NA,80.07,356,5,2109.217,29.624,NA,NA,"3","1","2","1","2","1","3","1","1","1","1","1","0",NA,"2","1","0","0","0","0","2","1","3","2","0","0",NA,"312","5","63.89","63.89","77.38","77.38","61.54","61.54","70.45","70.45","12.5","12.5"
"69","GUY","Guyana","Latin America and the Caribbean",6,2020-07-29,8.2,0,10.4254,0,NA,NA,NA,NA,NA,77.31,786559,3.952,26.3,5.305,2.837,7435.047,NA,373.159,11.62,NA,NA,77.159,1.6,69.91,401,20,509.816,25.427,NA,NA,"2","1","2","1","2","1","4","0","1","1","2","0","2","0","4","1","0","1","0","0","2","1","1","2","0","0",NA,"285","19","77.31","77.31","83.33","83.33","69.55","69.55","75.38","75.38","37.5","37.5"
"70","HKG","Hong Kong","Asia and the Pacific",NA,2020-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7496988,7039.714,44.8,16.303,10.158,56054.92,NA,NA,8.33,NA,NA,NA,NA,84.86,NA,NA,NA,NA,593962,79.227,"2","1","0","1","0","1","4","1","0",NA,"1","1","0",NA,"4","2","1","2","0","0","2","1","2","2","0","0",NA,"1365","7","41.67","66.67","57.86","75","57.05","74.36","49.24","69.7","100","100"
"71","HND","Honduras","Latin America and the Caribbean",838.4,2020-07-29,597.6,42.8,60.3354,4.321,NA,NA,NA,NA,NA,96.3,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,NA,84.169,0.7,75.27,41426,1312,4182.498,132.464,NA,NA,"3","1","2","1","2","1","4","1","2","1","3","1","2","1","4","2","0","2","0","0","2","1","1","1","0","0",NA,"30867","835","96.3","96.3","96.43","96.43","86.54","86.54","86.36","86.36","87.5","87.5"
"72","HRV","Croatia","Europe",58.8,2020-07-29,55.8,2.2,13.5922,0.5362,1390.4,0.3388,1277.8,0.3112,NA,NA,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,5071,144,1235.242,35.077,118955,28.976,"2","1","0",NA,"0",NA,"2","1","0",NA,"0",NA,"0",NA,"3","2","0","2","0","0","2","1","3","2","0","0",NA,"4923","119","32.41","26.85","44.29","37.86","51.28","46.79","44.7","37.12","87.5","100"
"73","HTI","Haiti","Latin America and the Caribbean",86.4,2020-07-29,23,1,2.0172,0.0878,NA,NA,NA,NA,NA,28.7,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,7412,161,650.031,14.12,NA,NA,"3","1","1","1","2","1","3","1","1","0","1","1","2","0","1","1","1","1","0","0","2","1","1","1","0","0",NA,"6486","146","65.74","65.74","71.43","71.43","59.62","59.62","61.36","61.36","50","50"
"74","HUN","Hungary","Europe",6.4,2020-07-29,14,0,1.4494,0,1842.5,0.1905,2709,0.2805,NA,52.78,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,76.88,4505,596,466.339,61.695,NA,NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","3","2","0","2","0","0","2","1","1","2","0","0",NA,"4183","596","52.78","52.78","67.86","67.86","60.26","60.26","55.3","55.3","87.5","87.5"
"75","IDN","Indonesia","Asia and the Pacific",1239.6,2020-07-29,1810,68.8,6.6174,0.2514,19531,0.0716666666666667,12169.6,0.0448,NA,62.5,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,106336,5058,388.763,18.492,866539,3.168,"2","0","2","0","2","0","4","0","0",NA,"2","0","1","1","4","0",NA,"0","0","0","2","1","1","1","0","0",NA,"56385","2876","62.5","62.5","63.81","63.81","49.68","49.68","58.71","58.71","0","0"
"76","IND","India","Asia and the Pacific",19018.4,2020-07-29,50669.6,736.8,36.7168,0.534,508327.8,0.3686,435756.6,0.3158,NA,NA,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,1638870,35747,1187.583,25.904,18832970,13.647,"3","1","2","0","2","1","3","1","1","1","2","0","2","0","4","1","1","2","0","0","2","1","2","2","0","0",NA,"585493","17400","77.78","77.78","83.33","83.33","78.21","78.21","78.79","78.79","75","75"
"77","IRL","Ireland","Europe",13.6,2020-07-29,31.6,0,6.3996,0,4749.6,0.962,6407.6,1.2976,NA,38.89,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,NA,2.96,82.3,26027,1763,5270.975,357.042,632854,128.165,"2","1","1","1","0",NA,"2","1","1","1","0",NA,"0",NA,"2","2","1","2","0","0","2","1","2","2","0","0",NA,"25473","1764","38.89","38.89","57.38","57.38","55.13","55.13","46.97","46.97","100","100"
"78","IRN","Iran","Asia and the Pacific",2513.2,2020-07-29,2538.2,217,30.2194,2.5838,25740,0.306,25457.4,0.303,NA,NA,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,76.68,301530,16569,3589.944,197.267,2456909,29.251,"3","0","2","0","2","0","2","0","1","1","1","1","2","0","3","1","0","2","0","0","2","1","2","2","0","0",NA,"227662","10817","64.35","64.35","71.43","71.43","66.99","66.99","67.8","67.8","62.5","62.5"
"79","IRQ","Iraq","West Asia",1994,2020-07-29,2738,77.4,68.0714,1.9244,NA,NA,NA,NA,NA,92.59,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,NA,NA,94.576,1.4,70.6,121263,4671,3014.805,116.129,NA,NA,"3","1","2","1","2","1","4","1","2","1","2","1","2","1","4","1","1","1","0","0","2","1","2","1","0","0",NA,"49109","1943","92.59","92.59","96.43","96.43","80.77","80.77","86.36","86.36","50","50"
"80","ISL","Iceland","Europe",1.2,2020-07-29,5.8,0,16.9964,0,412.75,1.2095,116.5,0.3415,NA,NA,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,1872,10,5485.714,29.304,NA,NA,"0",NA,"0",NA,"2","1","2","1","0",NA,"0",NA,"0",NA,"2","2","1","2","0","0","2","1","3","2","0","0",NA,"1833","10","33.33","33.33","35.71","35.71","53.85","53.85","45.45","45.45","100","100"
"81","ISR","Israel","Europe",568.8,2020-07-29,1940.2,9.2,224.157,1.0628,NA,NA,NA,NA,NA,NA,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,NA,2.99,82.97,70379,503,8131.092,58.113,NA,NA,"1","1","1","1","2","1","3","1","1","1","2","0","2","0","4","2","1","2","0","0","2","1","1","2","0","0",NA,"25244","320","54.63","54.63","79.76","66.67","59.62","59.62","52.27","52.27","100","100"
"82","ITA","Italy","Europe",174.4,2020-07-29,258.8,6,4.2804,0.0994,27734.4,0.4586,27169.6,0.4494,NA,NA,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,247158,35132,4087.835,581.061,4061667,67.177,"3","1","2","1","2","1","2","1","0",NA,"1","1","0",NA,"3","1","1","2","0","0","2","1","2","2","0","0",NA,"240578","34767","58.33","58.33","71.43","71.43","64.74","64.74","62.88","62.88","75","75"
"83","JAM","Jamaica","Latin America and the Caribbean",3.6,2020-07-29,5.4,0,1.8238,0,NA,NA,NA,NA,NA,NA,2961161,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,864,10,291.777,3.377,NA,NA,"2","1","0",NA,"2","1","3","1","1","1","2","1","2","1","1","1","1","1","0","0","2","1","1","1","0","0",NA,"753","10","64.81","64.81","66.67","66.67","58.97","58.97","60.61","60.61","50","50"
"84","JOR","Jordan","West Asia",9.2,2020-07-29,7.4,0,0.7252,0,NA,NA,NA,NA,NA,NA,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,NA,NA,NA,1.4,74.53,1191,11,116.729,1.078,NA,NA,"3","1","0",NA,"2","1","0",NA,"0",NA,"1","1","0",NA,"4","1","0","1","0","0","2","1","2","2","0","0",NA,"1169","10","48.15","48.15","64.29","64.29","51.92","51.92","54.55","54.55","37.5","37.5"
"85","JPN","Japan","Asia and the Pacific",105.2,2020-07-29,878.4,1.8,6.945,0.0144,19481.3333333333,0.154,15440,0.122333333333333,NA,32.41,126476458,347.778,48.2,27.049,18.493,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,84.63,33774,1005,267.038,7.946,NA,NA,"1","0","0","1","1","0","0",NA,"0",NA,"0","0","0","0","3","1","1","2","0","0","2","1","2","1","0","0",NA,"29989","982","24.07","24.07","33.33","33.33","37.18","37.18","30.3","30.3","75","75"
"86","KAZ","Kazakhstan","Asia and the Pacific",4263,2020-07-29,1471.6,41.6,78.3738,2.2156,NA,NA,NA,NA,NA,74.07,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,89078,793,4744.069,42.233,NA,NA,"2","1","2","1","2","1","4","1","1","1","1","1","1","1","4","1","0","1","0","0","2","1","3","2","0","0",NA,"41065","375","74.07","74.07","83.33","83.33","72.44","72.44","78.79","78.79","37.5","37.5"
"87","KEN","Kenya","Africa",196.4,2020-07-29,654,9.4,12.1626,0.1746,6086.75,0.11325,5009.8,0.0932,NA,NA,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,19913,325,370.328,6.044,303959,5.653,"3","1","2","1","2","1","4","1","1","1","2","1","1","1","4","1","1","1","0","0","2","1","3","2","0","0",NA,"6366","148","81.48","81.48","88.1","88.1","79.49","79.49","84.85","84.85","50","50"
"88","KGZ","Kyrgyzstan","Asia and the Pacific",306.2,2020-07-29,598.4,20.2,91.72,3.0964,NA,NA,NA,NA,NA,81.94,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,35805,1378,5488.037,211.214,NA,NA,"3","1","2","0","2","1","4","0","2","0","2","0","2","0","4","1","1","1","0","0","1","1","2","1","0","0",NA,"5735","62","76.39","76.39","78.57","78.57","69.55","69.55","73.11","73.11","50","50"
"89","KHM","Cambodia","Asia and the Pacific",2.2,2020-07-29,1.8,0,0.1076,0,NA,NA,NA,NA,NA,NA,16718971,90.672,25.6,4.412,2.385,3645.07,NA,270.892,4,2,33.7,66.229,0.8,69.82,234,0,13.996,0,NA,NA,"3","1","2","0","0",NA,"2","1","0",NA,"0",NA,"0",NA,"2","2","0","0","0","0","2","1","1","1","0","0",NA,"141","0","38.89","38.89","51.43","51.43","39.1","39.1","39.39","39.39","37.5","37.5"
"90","KOR","S. Korea","Asia and the Pacific",49.6,2020-07-29,31,0.6,0.6046,0.012,8371.25,0.1635,8338.25,0.16275,NA,48.61,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,14305,301,279.018,5.871,NA,NA,"3","0","2","0","1","0","4","0","0",NA,"1","0","1","0","2","1","1","1","0","0","2","1","3","2","0","0",NA,"13091","289","48.61","48.61","55.48","55.48","56.73","56.73","57.95","57.95","50","50"
"91","KWT","Kuwait","West Asia",681.4,2020-07-29,644,3.2,150.8,0.7494,4107.5,0.9615,3893.5,0.9115,NA,NA,4270563,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,66529,445,15578.508,104.202,NA,NA,"3","1","1","1","2","1","4","1","2","0","2","1","2","0","4","1","0","1","0","0","2","1","2","2","0","0",NA,"46195","408","83.33","83.33","84.52","84.52","76.28","76.28","83.33","83.33","37.5","37.5"
"92","LAO","Laos","Asia and the Pacific",0,2020-07-29,0,0,0,0,NA,NA,NA,NA,NA,NA,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,20,0,2.749,0,NA,NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"2","0",NA,"1","0","0","2","1","1","2","0","0",NA,"19","0","16.67","16.67","21.43","21.43","25.64","25.64","25.76","25.76","25","25"
"93","LBN","Lebanon","West Asia",23.2,2020-07-29,150.4,2,22.0352,0.2932,NA,NA,NA,NA,NA,41.67,6825442,594.561,31.1,8.514,5.43,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,78.93,4334,57,634.977,8.351,NA,NA,"2","1","2","1","2","1","4","1","1","1","1","1","1","1","2","0",NA,"1","0","0","2","1","2","1","0","0",NA,"1778","36","68.52","68.52","76.19","76.19","60.26","60.26","66.67","66.67","25","25"
"94","LBR","Liberia","Africa",19.8,2020-07-29,5.2,0.4,1.028,0.0792,NA,NA,NA,NA,NA,56.48,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,1181,73,233.506,14.434,NA,NA,"2","1","2","1","2","1","4","1","1","1","2","0","2","0","2","0",NA,"0","0","0","2","1","1","1","0","0",NA,"1024","37","56.48","56.48","76.19","76.19","45.51","45.51","53.79","53.79","0","0"
"95","LBY","Libya","Africa",25.2,2020-07-29,135,2.6,19.6468,0.3784,NA,NA,NA,NA,NA,87.96,6871287,3.623,29,4.424,2.816,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,72.91,3222,71,468.908,10.333,NA,NA,"3","1","2","1","2","1","4","1","2","1","2","0","2","1","4","0",NA,"0","0","0","2","1","1","1","0","0",NA,"989","27","90.74","90.74","96.43","96.43","69.23","69.23","81.82","81.82","0","0"
"96","LKA","Sri Lanka","Asia and the Pacific",7.4,2020-07-29,8.8,0,0.411,0,NA,NA,NA,NA,NA,NA,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,76.98,2814,11,131.414,0.514,NA,NA,"3","1","0",NA,"2","1","2","1","0",NA,"1","1","0",NA,"4","0",NA,"2","0","0","2","1","2","2","0","0",NA,"2730","11","53.7","53.7","64.29","64.29","57.69","57.69","59.09","59.09","50","50"
"97","LSO","Lesotho","Africa",1.4,2020-07-29,37,0.8,17.2716,0.3736,NA,NA,NA,NA,NA,NA,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,NA,54.33,604,13,281.946,6.068,NA,NA,"0","1","1","1","1","1","3","1","1","1","1","1","1","1","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"359","0","54.63","54.63","66.19","66.19","51.92","51.92","52.27","52.27","50","50"
"98","LTU","Lithuania","Europe",2.2,2020-07-29,12.2,0,4.4814,0,4169.66666666667,1.53166666666667,3644.25,1.33875,NA,NA,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,75.93,2062,80,757.45,29.387,NA,NA,"2","1","0",NA,"0",NA,"2","1","1","1","0",NA,"0",NA,"2","2","1","1","0","0","2","1","2","2","0","0",NA,"1960","79","35.19","35.19","50.24","50.24","48.72","48.72","43.94","43.94","75","75"
"99","LUX","Luxembourg","Europe",29.6,2020-07-29,85.4,0.4,136.427,0.6392,5980,9.553,6304,10.0705,NA,19.44,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,82.25,6616,114,10569.095,182.116,NA,NA,"0",NA,"1","1","1","1","0","1","0",NA,"1","1","0",NA,"0","2","1","2","0","0","2","1","3","2","0","0",NA,"5056","110","24.07","24.07","38.1","38.1","47.44","47.44","37.88","37.88","100","87.5"
"100","LVA","Latvia","Europe",1.4,2020-07-29,4.4,0,2.3328,0,1487.6,0.7886,1419.2,0.7526,NA,46.3,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,1228,31,651.044,16.435,198508,105.242,"2","1","2","1","1","1","2","1","0",NA,"1","1","0",NA,"2","0",NA,"2","0","0","2","1","3","2","0","0",NA,"1122","31","46.3","46.3","59.52","59.52","55.13","55.13","56.06","56.06","50","50"
"101","MAR","Morocco","Africa",239,2020-07-29,722.8,8.2,19.5824,0.2222,20954,0.567333333333333,20311.3333333333,0.550333333333333,NA,64.81,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,NA,1.1,76.68,23259,346,630.145,9.374,NA,NA,"3","1","1","1","2","1","3","1","0",NA,"0",NA,"2","0","4","1","1","2","0","0","2","1","3","1","0","0",NA,"14329","235","64.81","64.81","73.81","73.81","67.95","67.95","66.67","66.67","75","75"
"102","MDA","Moldova","Europe",232,2020-07-29,223.8,7.8,55.4788,1.9336,NA,NA,NA,NA,NA,57.41,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,23947,771,5936.346,191.127,NA,NA,"3","1","2","1","2","1","4","1","2","1","1","1","2","0","2","1","0","1","0","0","1","1","2","2","0","0",NA,"16613","545","57.41","57.41","60.71","60.71","58.33","58.33","62.12","62.12","37.5","37.5"
"103","MDG","Madagascar","Africa",77,2020-07-29,376.4,5.4,13.593,0.1952,NA,NA,NA,NA,NA,68.98,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,NA,NA,50.54,0.2,67.04,10748,105,388.14,3.792,NA,NA,"3","0","2","0","2","0","3","0","1","0","2","0","2","0","4","1","1","1","0","0","2","1","1","1","0","0",NA,"2728","33","68.98","68.98","70.24","70.24","61.86","61.86","64.02","64.02","50","50"
"104","MEX","Mexico","Latin America and the Caribbean",4627.6,2020-07-29,6228.6,525.2,48.3088,4.0736,NA,NA,NA,NA,NA,70.83,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,416179,46000,3227.876,356.775,NA,NA,"3","1","2","0","2","1","3","0","1","0","2","0","2","0","3","0",NA,"0","0","0","2","1","1","1","0","0",NA,"226089","27769","70.83","70.83","75","75","55.45","55.45","65.53","65.53","0","0"
"105","MLI","Mali","Africa",34.8,2020-07-29,3.8,0.2,0.1876,0.0098,NA,NA,NA,NA,NA,52.78,20250834,15.196,16.4,2.519,1.486,2014.306,NA,268.024,2.42,1.6,23,52.232,0.1,59.31,2522,124,124.538,6.123,NA,NA,"2","1","1","1","2","1","3","1","0",NA,"0",NA,"0",NA,"4","1","1","1","0","0","2","1","1","2","0","0",NA,"2358","121","52.78","52.78","60.71","60.71","54.49","54.49","55.3","55.3","50","50"
