"","iso_code","country_name","world_region","past_cases","date","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"20","BLR","Belarus","Europe",347.2,2020-07-29,132.6,4.6,14.0328,0.4866,NA,NA,9616.4,1.0176,NA,NA,9449321,46.858,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,74.79,67665,553,7160.832,58.523,1299428,137.515,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"2","0",NA,"0","0","0","1","1","3","2","0","0",NA,"62118","519","11.11","11.11","16.67","16.67","23.08","23.08","27.27","27.27","0","0"
"21","BLZ","Belize","Latin America and the Caribbean",1,2020-07-29,0,0,0,0,NA,NA,NA,NA,NA,NA,397621,16.426,25,3.853,2.279,7824.362,NA,176.957,17.11,NA,NA,90.083,1.3,74.62,48,2,120.718,5.03,NA,NA,"3","0","2","1","2","1","3","1","0",NA,"1","1","1","1","4","1","1","0","0","0","2","1","1","2","0","0",NA,"30","2","67.59","67.59","73.81","73.81","60.9","64.74","67.42","62.88","25","75"
"22","BMU","Bermuda","Latin America and the Caribbean",0,2020-07-29,0.6,0,9.635,0,NA,NA,NA,NA,NA,48.15,62273,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,156,9,2505.099,144.525,NA,NA,"1","1","1","1","1","1","3","1","0",NA,"2","1","1","1","1","2","0","1","0","0","2","1","3","2","0","0",NA,"153","9","48.15","48.15","54.29","54.29","58.33","58.33","57.58","57.58","62.5","62.5"
"23","BOL","Bolivia","Latin America and the Caribbean",943.2,2020-07-29,1390.6,71.8,119.1292,6.151,2409.33333333333,0.206333333333333,2516.66666666667,0.215666666666667,NA,NA,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,75234,2894,6445.114,247.922,NA,NA,"3","1","2","1","2","1","4","1","2","0","2","1","2","1","4","1","1","0","0","0","2","1","1","0","0","0",NA,"33219","1123","89.81","89.81","91.67","91.67","68.59","68.59","76.52","76.52","25","25"
"24","BRA","Brazil","Latin America and the Caribbean",34785.4,2020-07-29,43117.8,962.8,202.8506,4.5296,NA,NA,NA,NA,NA,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,2610102,91263,12279.4,429.353,NA,NA,"3","0","3","0","2","0","4","0","2","0","2","0","2","0","4","1","1","1","0","0","2","1","2","0","0","0",NA,"1402041","59594","81.02","81.02","80.48","80.48","68.91","68.91","72.35","72.35","50","50"
"25","BRB","Barbados","Latin America and the Caribbean",0,2020-07-29,0.4,0,1.392,0,NA,NA,NA,NA,NA,54.63,287371,664.463,39.8,14.952,9.473,16978.068,NA,170.05,13.57,1.9,14.5,88.469,5.8,79.19,110,7,382.78,24.359,NA,NA,"2","1","2","1","1","1","2","1","1","1","1","1","1","1","1","1","0","1","0","0","2","1","2","2","0","0",NA,"98","7","54.63","54.63","67.86","67.86","56.41","56.41","59.85","59.85","37.5","37.5"
"26","BRN","Brunei","Asia and the Pacific",0,2020-07-29,0,0,0,0,NA,NA,NA,NA,NA,36.11,437483,81.347,32.4,4.591,2.382,71809.251,NA,201.285,12.79,2,30.9,NA,2.7,75.86,141,3,322.298,6.857,NA,NA,"2","1","0",NA,"1","1","3","1","0",NA,"0",NA,"1","1","4","1","0","0","0","0","2","1","2","1","0","0",NA,"141","3","49.07","49.07","60.24","60.24","44.87","44.87","50.76","50.76","12.5","12.5"
"27","BTN","Bhutan","Asia and the Pacific",1.4,2020-07-29,1.6,0,2.0736,0,NA,NA,NA,NA,NA,NA,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NA,NA,79.807,1.7,71.78,101,0,130.895,0,NA,NA,"2","1","2","1","2","1","3","1","0",NA,"1","1","2","1","4","2","0","2","0","0","2","1","2","2","0","0",NA,"80","0","71.3","65.74","78.57","75.71","75.64","71.79","73.48","68.94","87.5","87.5"
"28","BWA","Botswana","Africa",27.6,2020-07-29,23.6,0.2,10.0356,0.085,NA,NA,NA,NA,NA,NA,2351625,4.044,25.8,3.941,2.242,15807.374,NA,237.372,4.81,5.7,34.4,NA,1.8,69.59,804,2,341.891,0.85,NA,NA,"2","0","1","1","1","1","3","1","0",NA,"1","1","2","0","4","1","0","2","0","0","2","1","1","1","0","0",NA,"522","1","57.41","57.41","63.81","63.81","55.77","55.77","54.55","54.55","62.5","62.5"
"29","CAF","Central African Rep.","Africa",100.2,2020-07-29,1.4,0,0.2898,0,NA,NA,NA,NA,NA,NA,4829764,7.479,18.3,3.655,2.251,661.24,NA,435.727,6.1,NA,NA,16.603,1,53.28,4605,59,953.463,12.216,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"1","1","2","0","4","1","1","0","0","0","2","1","1","1","0","0",NA,"4599","53","64.81","53.7","66.67","57.14","55.13","47.44","60.61","51.52","25","25"
